material_design_section,system_design_aspect,property,constraint,relation,content
Foundations,Structure,Group,soft,Accessibility Hierarchy,"Types of feedback

Visual feedback (such as labels, colors, and icons) and touch feedback show users what is available in the UI.

Navigation

Navigation can have clear task flows with minimal steps, easy-to-locate controls and clear labeling. Focus control, or the ability to control keyboard and reading focus, can be implemented for frequently used tasks.

Every added button, image, and line of text increases the complexity of a UI. You can simplify how your UI is understood by using:

Clearly visible elements
Sufficient contrast and size
A clear hierarchy of importance
Key information that is discernable at a glance
To convey an item’s relative level of importance:

Place important actions at the top or bottom of the screen (reachable with shortcuts)
Place related items of a similar hierarchy next to each other"
Foundations,Layout,Clickable,soft,Accessibility Touch and pointer target sizes,"Touch targets are the parts of the screen that respond to user input, extending beyond the visual bounds of an element. For example, an icon may appear to be 24 x 24dp, but the padding surrounding it comprises the full 48 x 48dp touch target. 
For most platforms, consider making touch targets at least 48 x 48dp. A touch target this size results in a physical size of about 9mm, regardless of screen size. The recommended target size for touchscreen elements is 7-10mm. It may be appropriate to use larger touch targets to accommodate a larger spectrum of users.
Note: iOS recommends 44 x 44dp targets. 
Pointer targets are similar to touch targets, but are implemented by motion-tracking pointer devices such as a mouse or a stylus. "
Foundations,Layout,Spacing,soft,Accessibility Target spacing,"In most cases, targets separated by 8dp of space or more promote balanced information density and usability."
Foundations,Label,Label,hard,Accessibility Alternative text,"Do,Alt text helps translate a visual UI into a text-based UI. Alt text is a short label (up to 125 characters) in the code that describes an image for users who are unable to see them. Since alt text is only for images, there is no need to add “image of” or “picture of” to the alt text. A screen reader will read the alt text aloud in place of the image. 
Use alt text to convey what the image is showing in an informative, short phrase.
"
Foundations,Label,Label,hard,Accessibility Captions,"Do,Captions are the text that appear below an asset. They explain an asset’s contextual information–the who, what, when, and where. Both sighted and screen reader users rely on captions for descriptions of assets.
Captions are the text that appear below an asset. They explain an asset’s contextual information–the who, what, when, and where. Both sighted and screen reader users rely on captions for descriptions of assets.
"
Foundations,Color,Color,soft,Accessibility Essential and non-essential elements,"Informative images have essential and non-essential elements. Essential information should have a 3:1 color contrast ratio for large text and 4.5:1 for small text.
The illustration contains both essential and non-essential information:Essential: The text meets all contrast ratios and size requirementsEssential: An illustrative visual representation of the instructions that follows color contrast guidelinesNon-essential: The decorative elements create background and personality for the illustration. They do not relay information and do not have to meet contrast requirements."
Foundations,Implement,Platform,hard,Accessibility Implementing accessibility,"Do,Use native elements, such as the standard platform dialog"
Foundations,Implement,Platform,hard,Accessibility Implementing accessibility,"Don’t,Be wary of using non-standard elements, such as a non-standard platform dialog to perform a standard dialog task. It requires extra testing to work well with assistive technology."
Foundations,Color,Color,soft,Accessibility Contrast ratios,"
Color contrast is important for users to distinguish various text and non-text elements. Higher contrast makes the imagery easier to see, while low-contrast images may be difficult for some users to differentiate in bright or low light conditions, such as on a very sunny day or at night.
Contrast ratios represent how different one color is from another color, commonly written as 1:1 or 21:1. The greater the difference is between the two numbers in the ratio, the greater the difference in relative luminance between the colors. The contrast ratio between a color and its background ranges from 1-21 based on its luminance (the intensity of light emitted) according to the World Wide Web Consortium (W3C).
The W3C recommends the following contrast ratios for body text and image text
| Text type                                                             | Color contrast ratio         |
| --------------------------------------------------------------------- | ---------------------------- |
| Large text (at 14 pt bold/18 pt regular and up) and graphics`` | 3:1 against the background   |
| Small text``                                                   | 4.5:1 against the background |
"
Foundations,Color,Color,soft,Accessibility Clustering elements,"
The contrast of the button container color against the background color falls below 3:1, failing the 3:1 contrast ratio standard
The container color exceeds 3:1 contrast ratio against the background color
Standalone components, such as FABs, don’t benefit from a 3:1 contrast ratio between the container and background colors
When placing components together in a cluster, use components or types of components that each achieve at least 3:1 contrast between themselves and the background.
"
Foundations,Text,Text,soft,Accessibility Text resizing,"Most components behave the same when text is resized:

Text and line height scale up proportionally, multiplied by scale value
Padding remains constant at 1x the default size
Spacing between elements in a component remain constant at 1x the default size

Button text displayed at 1x, 1.3x, and 2x scales. All have top and bottom padding of 8dp.

Button text displayed at 1x, 1.3x, and 2x scales. All have left and right padding of 24dp.

When text resizing isn't controlled by the device OS, offer multipliers such as 1.5x or 2x to allow users to increase the text size. Using multipliers to scale text can result in values with decimals, but this approach is more feasible for implementation.

To calculate a font's size using multipliers, take the default font size (density = 0) and multiply it by the scale value.

Button with label text at 1x and 2x scale.

Components that don't include text, like progress indicators, checkboxes, or radio buttons, aren't affected by text resizing.
"
Foundations,Text,Text,hard,Accessibility Text resizing,"Don’t,Icon button with the icon shown at 1x scale and incorrectly at 2x scale."
Foundations,Text,Text,soft,Text resizing Text Increase container size,"Resizing containers can prevent text from overlapping, clipping, or truncating.
Consider how text might reflow in a way that allows the eye to follow the end of one line to the beginning of the following line"
Foundations,Text,Text,soft,Accessibility Text resizing Reflow the layout,"Consider reflowing the layout, especially when components grow very long. To accommodate larger text, components can be stacked on top of one another, rather than fixed side-by-side."
Foundations,Text,Text,soft,Accessibility Text resizing Enable content to scroll,"When long strings of enlarged text don’t fit on one screen, consider adding a scrollbar to provide access to more content.
Vertical scrolling is preferable to horizontal. Users should only be asked to scroll in one direction, rather than both vertically and horizontally."
Foundations,Text,Text,soft,Accessibility Text resizing Use long press tooltips to provide enlarged labels,"Some components, such as app bars and navigation bars, position text in spaces with stricter space and character limits. In these situations, you can add a tooltip to display enlarged content in the UI.
In this case, the text size in the component remains displayed at 1x while the scaled up text is displayed in a tooltip on long press.
Tooltips are the best choice for displaying enlarged text in: Top app bar
Navigation bar
Navigation rail
Tabs, when fixed to the top of a screen and don’t move off-screen upon scrolling
Tooltip on navigation rail displays scaled up label text."
Foundations,Text,Text,hard,Accessibility Text resizing Use long press tooltips to provide enlarged labels,"Do,Scale up text in an adjacent tooltip to maintain space in a UI for consuming content."
Foundations,Structure,Group,soft,Accessibility Structure Web Landmarks,"For web only: Landmarks and headings help assistive-technology users orient themselves to a web page and allow for easy navigation and traversal across large sections of a document or page. 

By classifying and labeling sections of a page, structural information that is conveyed visually through layout design can also be represented in code.
Landmarks are large blocks of content that establish the high-level structure of your layout. They're a set of ARIA roles that provide easy access to, and important meaning for, common content areas of a web page. 

There are eight landmark roles: navigation, search, main, banner, complementary, contentinfo, region, and form. 

The eight landmark roles in the W3C ARIA guidelines include:

Navigation: Contains lists of navigation links (there can be multiple, in which case you should differentiate in label)
Search: A search field 
Main: The main content area as defined by UX. There should be only one.
Banner: Typically the header; content repeated from page to page, often contains navigation and toolbars. There should be only one.
Complementary: A sidebar or aside to main content that can stand alone without the main content
Contentinfo: Typically the footer; contains information describing the site and its content (for example,  copyright). There should be only one.
Region: Content regions are important content blocks. They can be nested inside the “main” landmark. Regions should be labeled with names that make the purpose of that region clear. 
Form: Takes and stores user info"
